model,epoch,average_loss,accuracy,correct_data,total_data
51,16,6054594.582515611,0.0,0,8968
74,16,0.013502925443005633,99.53166815343444,8926,8968
74,16,26191752.33898305,0.0,0,8968
global,16,21.70580291748047,77.74308652988402,6972,8968
41,17,0.751369907534835,100.0,8968,8968
41,17,1799880.5192908118,0.0,0,8968
73,17,0.9384316401647522,0.0,0,8968
73,17,0.0,100.0,8968,8968
51,17,0.922530251778629,0.0,0,8968
51,17,1233376.042484389,0.0,0,8968
74,17,0.9136615358857998,100.0,8968,8968
74,17,424582.055279884,0.0,0,8968
global,17,0.01307192745134168,100.0,8968,8968
41,18,0.7926841251665093,100.0,8968,8968
41,18,1036575.2394067796,0.0,0,8968
73,18,0.9787579179341829,0.0,0,8968
73,18,441.3838195800781,0.0,0,8968
51,18,0.9007796046459494,0.0,0,8968
51,18,592.174343738675,0.0,0,8968
74,18,0.9105566736845753,100.0,8968,8968
74,18,1039.1567386079323,0.0,0,8968
global,18,3.1560187327021683,0.0,0,8968
41,19,0.7392449977672281,100.0,8968,8968
41,19,1992.5888665341351,0.0,0,8968
73,19,0.9239315990355268,0.0,0,8968
73,19,0.0,100.0,8968,8968
51,19,0.8469639420509338,100.0,8968,8968
51,19,0.0,100.0,8968,8968
74,19,0.9504774806756828,100.0,8968,8968
74,19,1625.680054255408,0.0,0,8968
global,19,2.3841856489070778e-07,100.0,8968,8968
41,20,0.6088401674160885,100.0,8968,8968
41,20,158.14653020581426,0.0,0,8968
73,20,1.2444293500056338,0.0,0,8968
73,20,205.3638001032752,0.0,0,8968
51,20,0.9921211005852331,100.0,8968,8968
51,20,157.77313236505404,0.0,0,8968
74,20,1.1061778067479062,100.0,8968,8968
74,20,114.53175358087437,0.0,0,8968
global,20,2.1812276831702606,0.0,0,8968
41,21,0.8868712782328093,100.0,8968,8968
41,21,0.0,100.0,8968,8968
73,21,1.0819151400456357,0.0,0,8968
73,21,0.0,100.0,8968,8968
51,21,1.0426102879853465,0.0,0,8968
51,21,0.0,100.0,8968,8968
74,21,0.9701333049149731,100.0,8968,8968
74,21,0.0,100.0,8968,8968
global,21,0.006404589861215996,100.0,8968,8968
41,22,0.6796684861714876,100.0,8968,8968
41,22,606.3750611984974,0.0,0,8968
73,22,0.8339143398082437,100.0,8968,8968
73,22,715.334167698257,0.0,0,8968
51,22,0.5864067675278295,100.0,8968,8968
51,22,652.1679075515026,0.0,0,8968
74,22,0.5121755003929138,100.0,8968,8968
74,22,539.3176271164662,0.0,0,8968
global,22,13.295462604083726,0.0,0,8968
41,23,8.236327168773478,0.0,0,8968
41,23,0.0,100.0,8968,8968
73,23,9.116986274719238,0.0,0,8968
73,23,0.0,100.0,8968,8968
51,23,9.339022639816516,0.0,0,8968
51,23,0.0,100.0,8968,8968
74,23,9.102282524959621,0.0,0,8968
74,23,0.0,100.0,8968,8968
global,23,0.04966619611451075,100.0,8968,8968
41,24,0.7824763655662537,100.0,8968,8968
41,24,597.474792698257,0.0,0,8968
73,24,0.9460352657098625,100.0,8968,8968
73,24,667.8613893234974,0.0,0,8968
51,24,0.7681078910295928,100.0,8968,8968
51,24,591.3171998159254,0.0,0,8968
74,24,0.8680570718967734,100.0,8968,8968
74,24,364.3834838322717,0.0,0,8968
global,24,10.25992870415884,0.0,0,8968
41,25,5.552623271942139,0.0,0,8968
41,25,0.0,100.0,8968,8968
73,25,6.369338511995287,0.0,0,8968
73,25,0.0,100.0,8968,8968
51,25,6.5795588489093495,0.0,0,8968
51,25,0.0,100.0,8968,8968
74,25,6.354841707435492,0.0,0,8968
74,25,0.0,100.0,8968,8968
global,25,0.00338552868925035,100.0,8968,8968
41,26,0.4710045159128922,100.0,8968,8968
41,26,765.9896239145434,0.0,0,8968
73,26,0.5867367387881351,100.0,8968,8968
73,26,839.2520141601562,0.0,0,8968
51,26,0.3856593073743672,100.0,8968,8968
